model_name,parameter_key,parameters,fit_rows,fit_seconds,rows,known_aml_positives,positive_rate_pct,roc_auc,average_precision,random_precision_baseline,top_fraction,top_k_rows,top_k_true_positives,precision_at_top_k,recall_at_top_k,average_precision_lift_vs_random,rule_missed_known_aml,rule_miss_recovered_in_top_k,rule_miss_recovery_at_top_k
Local Outlier Factor,"{""algorithm"": ""ball_tree"", ""contamination"": ""auto"", ""leaf_size"": 40, ""n_neighbors"": 50}","{'n_neighbors': 50, 'algorithm': 'ball_tree', 'leaf_size': 40, 'contamination': 'auto'}",15000,50.505501799983904,48672,110,0.2260026298487837,0.9130706388459363,0.3264661498593209,0.002260026298487837,0.01,487,57,0.11704312114989733,0.5181818181818182,144.4523676904806,29,4,0.13793103448275862
Local Outlier Factor,"{""algorithm"": ""ball_tree"", ""contamination"": ""auto"", ""leaf_size"": 40, ""n_neighbors"": 35}","{'n_neighbors': 35, 'algorithm': 'ball_tree', 'leaf_size': 40, 'contamination': 'auto'}",15000,43.45181100000627,48672,110,0.2260026298487837,0.9086904837677047,0.31224051411297793,0.002260026298487837,0.01,487,54,0.11088295687885011,0.4909090909090909,138.15791184460784,29,4,0.13793103448275862
Local Outlier Factor,"{""algorithm"": ""ball_tree"", ""contamination"": ""auto"", ""leaf_size"": 40, ""n_neighbors"": 20}","{'n_neighbors': 20, 'algorithm': 'ball_tree', 'leaf_size': 40, 'contamination': 'auto'}",15000,48.66019719996257,48672,110,0.2260026298487837,0.9012812112725626,0.26022495406747115,0.002260026298487837,0.01,487,51,0.10472279260780287,0.4636363636363636,115.14244513065414,29,5,0.1724137931034483
